Date,Market,OpenInterest,ProdLong,ProdShort,SwapLong,SwapShort,MMLong,MMShort,OtherLong,OtherShort,ChangeOI,ChangeMMLong,ChangeMMShort,MMNet,SwapNet,ProducerNet,OtherNet,SpecPressure,DealerPressure,ProdPressure,PsychophysicalPositioning,PP_signed,PositionShock,MMNet_EWM,PosMomentum,CrowdingIndex,DivergenceIndex
2021-09-28,,608409,33052,78483,71846,222250,130182,88059,169741,39149,-15098.0,-3146.0,16325.0,42123,-150404,-45431,130592,0.06923467601564079,-0.24720870335580178,-0.07467180794498438,-0.832540886656827,-0.832540886656827,-1.1141166102183686,87273.23776656103,-45150.237766561026,0.0020592744459463136,0.31644337937144257
2021-10-05,,610483,31091,79366,76055,239902,140590,72749,164258,42275,2075.0,10408.0,-15311.0,67841,-163847,-48275,121983,0.11112676356262173,-0.2683891279527849,-0.07907673104738379,-0.343345586321921,-0.343345586321921,1.4384513585627838,85833.81274681576,-17992.81274681576,0.23536509030870972,0.37951589151540666
2021-10-12,,614277,31274,83573,76215,238017,143474,73657,162899,41393,3794.0,2883.0,908.0,69817,-161802,-52299,121506,0.11365719374158563,-0.26340234128902756,-0.08513911476418619,-0.3045281586422879,-0.3045281586422879,0.1108361784811854,84647.38217297755,-14830.382172977552,0.25329075685139657,0.3770595350306132
2021-10-19,,616916,29270,85254,75161,245371,136452,67171,171256,41091,2639.0,-7022.0,-6486.0,69281,-170210,-55984,130165,0.1123021610721719,-0.2759046612504782,-0.0907481731710638,-0.2987313534854505,-0.2987313534854505,-0.030323520690896475,83509.13164164589,-14228.131641645887,0.24842832908475684,0.3882068223226501
2021-10-26,,673722,43938,103185,71306,263503,157179,55928,170939,46747,56806.0,20727.0,-11243.0,101251,-192197,-59247,124192,0.1502860230183963,-0.2852764196508352,-0.08793983275000668,0.08697069791146453,0.08697069791146453,1.750601866201477,84823.34411263508,16427.65588736492,0.5384503733001914,0.4355624426692315
2021-11-02,,673396,43648,104411,70636,261177,151761,52873,172201,45492,-326.0,-5418.0,-3055.0,98888,-190541,-60763,126709,0.146849699136912,-0.28295534871012007,-0.09023368122174769,0.06814588194619342,0.06814588194619342,-0.129698441249297,85865.17047466211,13022.82952533789,0.517013961336442,0.4298050478470321
2021-11-09,,775386,51934,121749,67691,291525,190015,43696,172344,50223,101990.0,38254.0,-9177.0,146319,-223834,-69815,122121,0.1887047225510907,-0.288674286097505,-0.090039025723962,0.4526122998599968,0.4526122998599968,2.454536843017032,90343.23192098344,55975.76807901656,0.9472934602160877,0.4773790086485957
2021-11-16,,837139,56130,135783,67391,299176,208350,44307,174861,55488,61753.0,18335.0,610.0,164043,-231785,-79653,119373,0.19595670491997147,-0.276877555579181,-0.09514907321245336,0.5583949670033241,0.5583949670033241,0.9130822028006442,95802.47400091059,68240.52599908941,1.0,0.47283426049915245
2021-11-23,,711387,43675,118035,67787,274214,166186,47457,173272,45658,-125752.0,-42165.0,3151.0,118729,-206427,-74360,127614,0.1668979050783891,-0.29017538976675145,-0.10452819632633152,0.23223522249052053,0.23223522249052053,-2.2339975619166004,97500.73518602832,21228.264813971677,0.6290207700557525,0.4570732948451406
2021-11-30,,685404,42135,101440,69810,278966,151177,46185,170088,40201,-25983.0,-15008.0,-1272.0,104992,-209156,-59305,129887,0.15318264848177132,-0.30515725032243757,-0.08652561117238884,0.10981962174454019,0.10981962174454019,-0.6742970438943277,98055.64369076697,6936.35630923303,0.5165579179185735,0.4583398988042089
2021-12-07,,655042,41014,100876,74934,270341,138890,45468,173538,40617,-30362.0,-12287.0,-717.0,93422,-195407,-59862,132921,0.14261986254316517,-0.2983121692960146,-0.09138650651408611,-0.00010394803924756872,-0.00010394803924756872,-0.5713322364716635,97712.41082478424,-4290.410824784238,0.4218359845104669,0.4409320318391798
2021-12-14,,653715,39267,96286,74661,258507,134609,59119,175342,39529,-1327.0,-4281.0,13651.0,75490,-183846,-57019,135813,0.11547845773769914,-0.2812326472545375,-0.08722302532449155,-0.20239959642657948,-0.20239959642657948,-0.8794351467169202,96066.30631924467,-20576.30631924467,0.2750292680131317,0.39671110499223666
